subject,interactionTypeName,object
Hydrophilus,preysOn,Physa
Tropisternus,preysOn,Physa
Letherocerus americanus,preysOn,Physa
Letherocerus americanus,preysOn,Physa
Belostoma,preysOn,Physa
Belostoma,preysOn,Physa
Anax junius,preysOn,Physa
Taricha torosa,preysOn,Physa
Taricha torosa,preysOn,Physa
Anaxyrus boreas,preysOn,Physa
Rana draytonii,preysOn,Physa
Fulica americana,preysOn,Physa
Echinostoma trivolvis,parasiteOf,Physa
Echinostoma,parasiteOf,Physa
Echinostoma,parasiteOf,Physa
Chaetogaster,symbiontOf,Helisoma
Hydrophilus,preysOn,Helisoma
Hydrophilus,preysOn,Helisoma
Tropisternus,preysOn,Helisoma
Letherocerus americanus,preysOn,Helisoma
Letherocerus americanus,preysOn,Helisoma
Belostoma,preysOn,Helisoma
Belostoma,preysOn,Helisoma
Tramea,preysOn,Helisoma
Anax junius,preysOn,Helisoma
Taricha torosa,preysOn,Helisoma
Taricha torosa,preysOn,Helisoma
Anaxyrus boreas,preysOn,Helisoma
Rana draytonii,preysOn,Helisoma
Fulica americana,preysOn,Helisoma
Daubaylia,parasiteOf,Helisoma
Ribeiroia ondatrae,parasiteOf,Helisoma
Megalodiscus,parasiteOf,Helisoma
Echinostoma trivolvis,parasiteOf,Helisoma
Echinostoma trivolvis,parasiteOf,Helisoma
Echinostoma,parasiteOf,Helisoma
Halipegus,parasiteOf,Helisoma
Alaria,parasiteOf,Helisoma
Cephalogonimus americanus,parasiteOf,Helisoma
Erpobdella,preysOn,Hyalella
Macrocyclops,preysOn,Hyalella
Hydrophilus,preysOn,Hyalella
Hydrophilus,preysOn,Hyalella
Tropisternus,preysOn,Hyalella
Notonecta,preysOn,Hyalella
Notonecta,preysOn,Hyalella
Hesperocorixa,preysOn,Hyalella
Hesperocorixa,preysOn,Hyalella
Letherocerus americanus,preysOn,Hyalella
Letherocerus americanus,preysOn,Hyalella
Belostoma,preysOn,Hyalella
Belostoma,preysOn,Hyalella
Tramea,preysOn,Hyalella
Coenagrion,preysOn,Hyalella
Lestes,preysOn,Hyalella
Anax junius,preysOn,Hyalella
Taricha torosa,preysOn,Hyalella
Taricha torosa,preysOn,Hyalella
Anaxyrus boreas,preysOn,Hyalella
Rana draytonii,preysOn,Hyalella
Fulica americana,preysOn,Hyalella
Pseudocorynosoma constrictum,parasiteOf,Hyalella
Pseudocorynosoma constrictum,parasiteOf,Hyalella
Erpobdella,preysOn,Macrocyclops
Macrocyclops,preysOn,Macrocyclops
Hydrophilus,preysOn,Macrocyclops
Hydrophilus,preysOn,Macrocyclops
Tropisternus,preysOn,Macrocyclops
Notonecta,preysOn,Macrocyclops
Notonecta,preysOn,Macrocyclops
Hesperocorixa,preysOn,Macrocyclops
Hesperocorixa,preysOn,Macrocyclops
Tramea,preysOn,Macrocyclops
Coenagrion,preysOn,Macrocyclops
Lestes,preysOn,Macrocyclops
Anax junius,preysOn,Macrocyclops
Taricha torosa,preysOn,Macrocyclops
Taricha torosa,preysOn,Macrocyclops
Fulica americana,preysOn,Macrocyclops
Halipegus,parasiteOf,Macrocyclops
Erpobdella,preysOn,Diaptomidae
Macrocyclops,preysOn,Diaptomidae
Hydrophilus,preysOn,Diaptomidae
Hydrophilus,preysOn,Diaptomidae
Tropisternus,preysOn,Diaptomidae
Notonecta,preysOn,Diaptomidae
Notonecta,preysOn,Diaptomidae
Hesperocorixa,preysOn,Diaptomidae
Hesperocorixa,preysOn,Diaptomidae
Tramea,preysOn,Diaptomidae
Coenagrion,preysOn,Diaptomidae
Lestes,preysOn,Diaptomidae
Anax junius,preysOn,Diaptomidae
Taricha torosa,preysOn,Diaptomidae
Taricha torosa,preysOn,Diaptomidae
Fulica americana,preysOn,Diaptomidae
Halipegus,parasiteOf,Diaptomidae
Erpobdella,preysOn,Simocephalus
Macrocyclops,preysOn,Simocephalus
Hydrophilus,preysOn,Simocephalus
Hydrophilus,preysOn,Simocephalus
Tropisternus,preysOn,Simocephalus
Notonecta,preysOn,Simocephalus
Notonecta,preysOn,Simocephalus
Hesperocorixa,preysOn,Simocephalus
Hesperocorixa,preysOn,Simocephalus
Tramea,preysOn,Simocephalus
Coenagrion,preysOn,Simocephalus
Lestes,preysOn,Simocephalus
Anax junius,preysOn,Simocephalus
Taricha torosa,preysOn,Simocephalus
Taricha torosa,preysOn,Simocephalus
Fulica americana,preysOn,Simocephalus
Macrocyclops,preysOn,Cyzicus californicus
Hydrophilus,preysOn,Cyzicus californicus
Hydrophilus,preysOn,Cyzicus californicus
Tropisternus,preysOn,Cyzicus californicus
Notonecta,preysOn,Cyzicus californicus
Notonecta,preysOn,Cyzicus californicus
Hesperocorixa,preysOn,Cyzicus californicus
Hesperocorixa,preysOn,Cyzicus californicus
Tramea,preysOn,Cyzicus californicus
Coenagrion,preysOn,Cyzicus californicus
Lestes,preysOn,Cyzicus californicus
Anax junius,preysOn,Cyzicus californicus
Taricha torosa,preysOn,Cyzicus californicus
Taricha torosa,preysOn,Cyzicus californicus
Rana draytonii,preysOn,Cyzicus californicus
Fulica americana,preysOn,Cyzicus californicus
Halipegus,parasiteOf,Cyzicus californicus
Tramea,preysOn,Callibaetis
Coenagrion,preysOn,Callibaetis
Lestes,preysOn,Callibaetis
Anax junius,preysOn,Callibaetis
Anaxyrus boreas,preysOn,Callibaetis
Pseudiacris regilla,preysOn,Callibaetis
Rana draytonii,preysOn,Callibaetis
Tachycineta bicolor,preysOn,Callibaetis
Hirundo rustica,preysOn,Callibaetis
Agelaius phoeniceus,preysOn,Callibaetis
Fulica americana,preysOn,Callibaetis
Arrenurus,parasiteOf,Callibaetis
Gregarinidae,interactsWith,Callibaetis
Macrocyclops,preysOn,Callibaetis
Hydrophilus,preysOn,Callibaetis
Hydrophilus,preysOn,Callibaetis
Tropisternus,preysOn,Callibaetis
Notonecta,preysOn,Callibaetis
Notonecta,preysOn,Callibaetis
Gerridae,preysOn,Callibaetis
Gerridae,preysOn,Callibaetis
Hesperocorixa,preysOn,Callibaetis
Hesperocorixa,preysOn,Callibaetis
Letherocerus americanus,preysOn,Callibaetis
Letherocerus americanus,preysOn,Callibaetis
Belostoma,preysOn,Callibaetis
Belostoma,preysOn,Callibaetis
Tramea,preysOn,Callibaetis
Coenagrion,preysOn,Callibaetis
Lestes,preysOn,Callibaetis
Anax junius,preysOn,Callibaetis
Taricha torosa,preysOn,Callibaetis
Taricha torosa,preysOn,Callibaetis
Rana draytonii,preysOn,Callibaetis
Arrenurus,parasiteOf,Callibaetis
Gregarinidae,interactsWith,Callibaetis
Hydrophilus,preysOn,Haliplus
Hydrophilus,preysOn,Haliplus
Tropisternus,preysOn,Haliplus
Notonecta,preysOn,Haliplus
Notonecta,preysOn,Haliplus
Hesperocorixa,preysOn,Haliplus
Hesperocorixa,preysOn,Haliplus
Letherocerus americanus,preysOn,Haliplus
Letherocerus americanus,preysOn,Haliplus
Belostoma,preysOn,Haliplus
Belostoma,preysOn,Haliplus
Tramea,preysOn,Haliplus
Coenagrion,preysOn,Haliplus
Lestes,preysOn,Haliplus
Anax junius,preysOn,Haliplus
Taricha torosa,preysOn,Haliplus
Taricha torosa,preysOn,Haliplus
Anaxyrus boreas,preysOn,Haliplus
Pseudiacris regilla,preysOn,Haliplus
Rana draytonii,preysOn,Haliplus
Fulica americana,preysOn,Haliplus
Hydrophilus,preysOn,Haliplus
Hydrophilus,preysOn,Haliplus
Tropisternus,preysOn,Haliplus
Notonecta,preysOn,Haliplus
Notonecta,preysOn,Haliplus
Hesperocorixa,preysOn,Haliplus
Hesperocorixa,preysOn,Haliplus
Letherocerus americanus,preysOn,Haliplus
Letherocerus americanus,preysOn,Haliplus
Belostoma,preysOn,Haliplus
Belostoma,preysOn,Haliplus
Tramea,preysOn,Haliplus
Coenagrion,preysOn,Haliplus
Lestes,preysOn,Haliplus
Anax junius,preysOn,Haliplus
Taricha torosa,preysOn,Haliplus
Taricha torosa,preysOn,Haliplus
Anaxyrus boreas,preysOn,Haliplus
Pseudiacris regilla,preysOn,Haliplus
Rana draytonii,preysOn,Haliplus
Fulica americana,preysOn,Haliplus
Hydrophilus,preysOn,Hydrophilus
Tropisternus,preysOn,Hydrophilus
Rana draytonii,preysOn,Hydrophilus
Fulica americana,preysOn,Hydrophilus
Hydrophilus,preysOn,Hydrophilus
Hydrophilus,preysOn,Hydrophilus
Hesperocorixa,preysOn,Hydrophilus
Hesperocorixa,preysOn,Hydrophilus
Letherocerus americanus,preysOn,Hydrophilus
Letherocerus americanus,preysOn,Hydrophilus
Belostoma,preysOn,Hydrophilus
Belostoma,preysOn,Hydrophilus
Tramea,preysOn,Hydrophilus
Coenagrion,preysOn,Hydrophilus
Lestes,preysOn,Hydrophilus
Anax junius,preysOn,Hydrophilus
Taricha torosa,preysOn,Hydrophilus
Taricha torosa,preysOn,Hydrophilus
Anaxyrus boreas,preysOn,Hydrophilus
Rana draytonii,preysOn,Hydrophilus
Fulica americana,preysOn,Hydrophilus
Ardea herodias,preysOn,Hydrophilus
Hydrophilus,preysOn,Tropisternus
Hydrophilus,preysOn,Tropisternus
Hesperocorixa,preysOn,Tropisternus
Hesperocorixa,preysOn,Tropisternus
Letherocerus americanus,preysOn,Tropisternus
Letherocerus americanus,preysOn,Tropisternus
Belostoma,preysOn,Tropisternus
Belostoma,preysOn,Tropisternus
Tramea,preysOn,Tropisternus
Coenagrion,preysOn,Tropisternus
Lestes,preysOn,Tropisternus
Anax junius,preysOn,Tropisternus
Taricha torosa,preysOn,Tropisternus
Taricha torosa,preysOn,Tropisternus
Anaxyrus boreas,preysOn,Tropisternus
Pseudiacris regilla,preysOn,Tropisternus
Rana draytonii,preysOn,Tropisternus
Fulica americana,preysOn,Tropisternus
Ardea herodias,preysOn,Tropisternus
Hydrophilus,preysOn,Tropisternus
Hydrophilus,preysOn,Tropisternus
Tropisternus,preysOn,Tropisternus
Notonecta,preysOn,Tropisternus
Notonecta,preysOn,Tropisternus
Hesperocorixa,preysOn,Tropisternus
Hesperocorixa,preysOn,Tropisternus
Letherocerus americanus,preysOn,Tropisternus
Letherocerus americanus,preysOn,Tropisternus
Belostoma,preysOn,Tropisternus
Belostoma,preysOn,Tropisternus
Tramea,preysOn,Tropisternus
Coenagrion,preysOn,Tropisternus
Lestes,preysOn,Tropisternus
Anax junius,preysOn,Tropisternus
Taricha torosa,preysOn,Tropisternus
Taricha torosa,preysOn,Tropisternus
Anaxyrus boreas,preysOn,Tropisternus
Pseudiacris regilla,preysOn,Tropisternus
Rana draytonii,preysOn,Tropisternus
Fulica americana,preysOn,Tropisternus
Ardea herodias,preysOn,Tropisternus
Notonecta,preysOn,Notonecta
Notonecta,preysOn,Notonecta
Hesperocorixa,preysOn,Notonecta
Hesperocorixa,preysOn,Notonecta
Tramea,preysOn,Notonecta
Tramea,preysOn,Notonecta
Coenagrion,preysOn,Notonecta
Lestes,preysOn,Notonecta
Anax junius,preysOn,Notonecta
Taricha torosa,preysOn,Notonecta
Taricha torosa,preysOn,Notonecta
Anaxyrus boreas,preysOn,Notonecta
Pseudiacris regilla,preysOn,Notonecta
Rana draytonii,preysOn,Notonecta
Tachycineta bicolor,preysOn,Notonecta
Hirundo rustica,preysOn,Notonecta
Agelaius phoeniceus,preysOn,Notonecta
Fulica americana,preysOn,Notonecta
Arrenurus,parasiteOf,Notonecta
Notonecta,preysOn,Notonecta
Notonecta,preysOn,Notonecta
Hesperocorixa,preysOn,Notonecta
Hesperocorixa,preysOn,Notonecta
Tramea,preysOn,Notonecta
Coenagrion,preysOn,Notonecta
Lestes,preysOn,Notonecta
Anax junius,preysOn,Notonecta
Taricha torosa,preysOn,Notonecta
Taricha torosa,preysOn,Notonecta
Anaxyrus boreas,preysOn,Notonecta
Pseudiacris regilla,preysOn,Notonecta
Rana draytonii,preysOn,Notonecta
Tachycineta bicolor,preysOn,Notonecta
Hirundo rustica,preysOn,Notonecta
Agelaius phoeniceus,preysOn,Notonecta
Fulica americana,preysOn,Notonecta
Arrenurus,parasiteOf,Notonecta
Notonecta,preysOn,Gerridae
Notonecta,preysOn,Gerridae
Gerridae,preysOn,Gerridae
Gerridae,preysOn,Gerridae
Tramea,preysOn,Gerridae
Coenagrion,preysOn,Gerridae
Lestes,preysOn,Gerridae
Anax junius,preysOn,Gerridae
Taricha torosa,preysOn,Gerridae
Taricha torosa,preysOn,Gerridae
Anaxyrus boreas,preysOn,Gerridae
Pseudiacris regilla,preysOn,Gerridae
Rana draytonii,preysOn,Gerridae
Tachycineta bicolor,preysOn,Gerridae
Hirundo rustica,preysOn,Gerridae
Agelaius phoeniceus,preysOn,Gerridae
Fulica americana,preysOn,Gerridae
Arrenurus,parasiteOf,Gerridae
Notonecta,preysOn,Gerridae
Notonecta,preysOn,Gerridae
Gerridae,preysOn,Gerridae
